Product,Field,Value
walking-cane,Slug,smart-cane
walking-cane,Title,Aluminum Quad Walking Cane — Adjustable 4-Leg Stability Cane
walking-cane,HeroText,Adjustable aluminum quad cane. 350g, 4-leg base, T-handle grip.
walking-cane,Material,Aluminum alloy
walking-cane,Weight,350g
walking-cane,Height,70–95 cm adjustable
walking-cane,Base,4-leg quad (stands independently)
walking-cane,Handle,T-handle non-slip grip
walking-cane,Lock,Spring clip with pin lock
walking-cane,Colors,"Black, Brown, Silver, Purple"
walking-cane,OEM,Available (private label, custom packaging)
walking-cane,Factory,"1688 supplier, 3+ years, 63% repeat, 100% on-time"
walking-cane,Images,assets/images/products/cane/
grab-bars,Slug,grab-bars
grab-bars,Title,304 Stainless Steel Knurled Grab Bars — Factory Direct
grab-bars,HeroText,304 stainless steel with machined knurl grip. 32mm tube, 50 kg rated.
grab-bars,Material,304 stainless steel
grab-bars,Diameter,32mm
grab-bars,Lengths,"30,40,50,60,70,80,90,100,110,120 cm"
grab-bars,WeightRating,50 kg static
grab-bars,Grip,Machined knurl (diamond pattern)
grab-bars,Finishes,"Brushed, Matte Black, Brushed Gold"
grab-bars,Mounting,Flange mount
grab-bars,OEM,Available (private label, custom packaging)
grab-bars,Factory,"1688 supplier, 6+ years, 62% repeat, 99.9% positive"
grab-bars,Images,assets/images/products/grab bar/
transfer-device,Slug,transfer-device
transfer-device,Title,Hydraulic Patient Transfer Chair with Standing Assist
transfer-device,HeroText,"Sit-on hydraulic transfer chair. 130 kg, built-in commode & standing assist."
transfer-device,Type,Hydraulic pedal (no power needed)
transfer-device,WeightCapacity,130 kg
transfer-device,Frame,Stainless steel + baked paint
transfer-device,StandingAssist,Built-in
transfer-device,Included,"Commode bucket, seat cushion, dining table"
transfer-device,Colors,"Blue, Black, Orange"
transfer-device,Package,8×8×4.3 cm / 73g
transfer-device,OEM,Available
transfer-device,Factory,"1688 supplier, 1+ year, 100% on-time, 100% positive"
transfer-device,Images,assets/images/products/transfer/
smart-ring,Slug,smart-ring
smart-ring,Title,K3 Health Monitoring Smart Ring — 24/7 Vital Tracking
smart-ring,HeroText,"24/7 heart rate, SpO2, sleep tracking, HRV. 5ATM waterproof, 10-15 day battery."
smart-ring,Model,K3
smart-ring,Material,14K gold-plated / 2.9mm thickness
smart-ring,Sensors,ST LIS2DW12 accelerometer + optical PPG (3918)
smart-ring,HealthMetrics,"HR, HRV, SpO2, body temp, sleep, steps, calories"
smart-ring,Battery,24mAH / 10–15 days use / 47 days standby
smart-ring,Charging,Wireless charging case / ~2h full charge
smart-ring,WaterResistance,5 ATM
smart-ring,Connectivity,Bluetooth 5.1 + GPS
smart-ring,App,iOS 10.0+ / Android 5.0+ / OTA updates
smart-ring,Sizes,US 6–13 (inner dia. 16.5–22.3mm)
smart-ring,Colors,"Black, Silver, Gold"
smart-ring,OEMMaterials,"Titanium alloy, Ceramic, Stainless steel"
smart-ring,OEMFinishes,"Polished, Matte (sandblast), Brushed"
smart-ring,OEM,Available (private label, custom app, custom packaging)
smart-ring,Factory,"1688 supplier, smart device specialist"
smart-ring,Images,assets/images/products/smart ring/
contact,Email,contact@empcaring.com
contact,Phone,+86 190 9844 7710
contact,Address,"Wangshang Dasha, Zhaoqing, Guangdong, China"
